country,fruits,non_starchy_vegetables,beans_legumes,nuts_seeds,unprocessed_red_meat,sugar_sweetened_beverages,fruit_juice,total_protein,calcium,potassium,total_milk
USA,74.989456,102.0651,14.151632,4.0384836,36.214947,326.66907,90.404755,78.203712,871.8667,2688.1243,160.22169
United Kingdom,110.17779,104.87525,32.734184,4.6665406,30.696743,200.98245,35.271713,64.570572,907.23889,3442.6399,170.45012
Mexico,132.40768,110.76203,59.504757,2.5480609,35.003193,482.59222,20.145832,56.570564,929.08636,2145.2927,104.88044
Republic of Korea,120.86304,118.61709,32.733288,0.66063207,35.569302,38.734955,15.109911,70.429436,516.71954,2952.9177,74.514557
Japan,124.90839,214.05086,55.922306,2.2925191,39.758896,115.00902,23.33153,65.676979,572.86407,2344.177,100.35254
