"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2013","2013","KG_HAB","Kilograms per capita","0","Units",,,13.702,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,11.619,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2015","2015","KG_HAB","Kilograms per capita","0","Units",,,14.067,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,14.088,,
"MEX","Mexico","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,76.873,,
"MEX","Mexico","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,395.971,,
"MEX","Mexico","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,298.119,,
"MEX","Mexico","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,66.835,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1990","1990","KG_HAB","Kilograms per capita","0","Units",,,140.5,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1991","1991","KG_HAB","Kilograms per capita","0","Units",,,142.45,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1992","1992","KG_HAB","Kilograms per capita","0","Units",,,136.828,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1993","1993","KG_HAB","Kilograms per capita","0","Units",,,133.035,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1994","1994","KG_HAB","Kilograms per capita","0","Units",,,122.981,,
