"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"KOR","Korea","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,21.475,,
"KOR","Korea","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2013","2013","KG_HAB","Kilograms per capita","0","Units",,,21.659,,
"KOR","Korea","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,22.439,,
"KOR","Korea","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2015","2015","KG_HAB","Kilograms per capita","0","Units",,,22.723,,
"KOR","Korea","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,24.428,,
"MEX","Mexico","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,14.614,,
"MEX","Mexico","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,26.267,,
"MEX","Mexico","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,28.939,,
"MEX","Mexico","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,15.462,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1990","1990","KG_HAB","Kilograms per capita","0","Units",,,57.212,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1991","1991","KG_HAB","Kilograms per capita","0","Units",,,55.164,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1992","1992","KG_HAB","Kilograms per capita","0","Units",,,54.259,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1993","1993","KG_HAB","Kilograms per capita","0","Units",,,51.19,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1994","1994","KG_HAB","Kilograms per capita","0","Units",,,48.798,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1995","1995","KG_HAB","Kilograms per capita","0","Units",,,45.795,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1996","1996","KG_HAB","Kilograms per capita","0","Units",,,44.048,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1997","1997","KG_HAB","Kilograms per capita","0","Units",,,40.41,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1998","1998","KG_HAB","Kilograms per capita","0","Units",,,38.695,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,36.353,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2000","2000","KG_HAB","Kilograms per capita","0","Units",,,34.754,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2001","2001","KG_HAB","Kilograms per capita","0","Units",,,33.786,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2002","2002","KG_HAB","Kilograms per capita","0","Units",,,31.875,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2003","2003","KG_HAB","Kilograms per capita","0","Units",,,31.005,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2004","2004","KG_HAB","Kilograms per capita","0","Units",,,29.86,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,29.434,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2006","2006","KG_HAB","Kilograms per capita","0","Units",,,27.985,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2007","2007","KG_HAB","Kilograms per capita","0","Units",,,26.587,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,23.541,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2009","2009","KG_HAB","Kilograms per capita","0","Units",,,20.222,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,19.652,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2011","2011","KG_HAB","Kilograms per capita","0","Units",,,18.073,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,18.312,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2013","2013","KG_HAB","Kilograms per capita","0","Units",,,17.264,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,16.054,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2015","2015","KG_HAB","Kilograms per capita","0","Units",,,15.389,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,13.922,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2017","2017","KG_HAB","Kilograms per capita","0","Units",,,13.308,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1990","1990","KG_HAB","Kilograms per capita","0","Units",,,89.691,,
