"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"KOR","Korea","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,8.343,,
"KOR","Korea","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2013","2013","KG_HAB","Kilograms per capita","0","Units",,,8.038,,
"KOR","Korea","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,6.781,,
"KOR","Korea","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2015","2015","KG_HAB","Kilograms per capita","0","Units",,,6.93,,
"KOR","Korea","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,7.039,,
"MEX","Mexico","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,29.302,,
"MEX","Mexico","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,29.259,,
"MEX","Mexico","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,20.225,,
"MEX","Mexico","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,11.035,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1990","1990","KG_HAB","Kilograms per capita","0","Units",,,65.924,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1991","1991","KG_HAB","Kilograms per capita","0","Units",,,62.985,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1992","1992","KG_HAB","Kilograms per capita","0","Units",,,61.589,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1993","1993","KG_HAB","Kilograms per capita","0","Units",,,55.553,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1994","1994","KG_HAB","Kilograms per capita","0","Units",,,47.503,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1995","1995","KG_HAB","Kilograms per capita","0","Units",,,42.361,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1996","1996","KG_HAB","Kilograms per capita","0","Units",,,36.062,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1997","1997","KG_HAB","Kilograms per capita","0","Units",,,29.617,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1998","1998","KG_HAB","Kilograms per capita","0","Units",,,29.118,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,22.478,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2000","2000","KG_HAB","Kilograms per capita","0","Units",,,21.826,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2001","2001","KG_HAB","Kilograms per capita","0","Units",,,20.252,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2002","2002","KG_HAB","Kilograms per capita","0","Units",,,18.155,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2003","2003","KG_HAB","Kilograms per capita","0","Units",,,17.659,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2004","2004","KG_HAB","Kilograms per capita","0","Units",,,14.934,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,12.814,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2006","2006","KG_HAB","Kilograms per capita","0","Units",,,11.961,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2007","2007","KG_HAB","Kilograms per capita","0","Units",,,10.285,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,8.512,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2009","2009","KG_HAB","Kilograms per capita","0","Units",,,6.878,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,7.084,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2011","2011","KG_HAB","Kilograms per capita","0","Units",,,6.479,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,7.116,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2013","2013","KG_HAB","Kilograms per capita","0","Units",,,6.1,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,4.917,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2015","2015","KG_HAB","Kilograms per capita","0","Units",,,3.788,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,2.64,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2017","2017","KG_HAB","Kilograms per capita","0","Units",,,2.58,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1990","1990","KG_HAB","Kilograms per capita","0","Units",,,82.206,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1991","1991","KG_HAB","Kilograms per capita","0","Units",,,78.943,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1992","1992","KG_HAB","Kilograms per capita","0","Units",,,77.156,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1993","1993","KG_HAB","Kilograms per capita","0","Units",,,75.292,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1994","1994","KG_HAB","Kilograms per capita","0","Units",,,72.981,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1995","1995","KG_HAB","Kilograms per capita","0","Units",,,62.915,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1996","1996","KG_HAB","Kilograms per capita","0","Units",,,61.336,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1997","1997","KG_HAB","Kilograms per capita","0","Units",,,62.091,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1998","1998","KG_HAB","Kilograms per capita","0","Units",,,61.681,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,56.286,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2000","2000","KG_HAB","Kilograms per capita","0","Units",,,51.886,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2001","2001","KG_HAB","Kilograms per capita","0","Units",,,50.172,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2002","2002","KG_HAB","Kilograms per capita","0","Units",,,46.803,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2003","2003","KG_HAB","Kilograms per capita","0","Units",,,45.701,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2004","2004","KG_HAB","Kilograms per capita","0","Units",,,44.565,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,44.147,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2006","2006","KG_HAB","Kilograms per capita","0","Units",,,39.434,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2007","2007","KG_HAB","Kilograms per capita","0","Units",,,34.805,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,30.369,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2009","2009","KG_HAB","Kilograms per capita","0","Units",,,26.479,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,22.309,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2011","2011","KG_HAB","Kilograms per capita","0","Units",,,18.439,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,14.289,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2013","2013","KG_HAB","Kilograms per capita","0","Units",,,13.602,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,13.015,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2015","2015","KG_HAB","Kilograms per capita","0","Units",,,10.15,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,8.063,,
"USA","United States","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2017","2017","KG_HAB","Kilograms per capita","0","Units",,,7.61,,
